"doctor_id","doctor_name","department_name","opd_day"
"DOC001","Dr. John Smith","Cardiology","monday"
"DOC002","Dr. Emily Johnson","Pediatrics","tuesday"
"DOC003","Dr. Michael Brown","Orthopedics","wednesday"
"DOC004","Dr. Sarah Wilson","Neurology","thursday"
"DOC005","Dr. Robert Davis","Dermatology","friday"
"DOC006","Dr. Laura Martinez","Oncology","saturday"
"DOC007","Dr. Christopher Lee","Gastroenterology","sunday"
"DOC008","Dr. Jennifer Garcia","Psychiatry","monday"
"DOC009","Dr. Daniel Clark","Urology","tuesday"
"DOC001","Dr. John Smith","Cardiology","wednesday"
"DOC005","Dr. Robert Davis","Dermatology","sunday"
"DOC008","Dr. Jennifer Garcia","Psychiatry","monday"
"DOC009","Dr. Daniel Clark","Urology","tuesday"
"DOC010","Dr. Amanda White","Endocrinology","wednesday"
"DOC001","Dr. John Smith","Cardiology","friday"
"DOC002","Dr. Emily Johnson","Pediatrics","wednesday"
"DOC003","Dr. Michael Brown","Orthopedics","monday"
"DOC004","Dr. Sarah Wilson","Neurology","wednesday"
"DOC012","Dr. Samantha Lee","Cardiology","thursday"
"DOC006","Dr. Laura Martinez","Oncology","monday"
"DOC003","Dr. Michael Brown","Orthopedics","thursday"
"DOC008","Dr. Jennifer Garcia","Psychiatry","wednesday"
"DOC003","Dr. Michael Brown","Orthopedics","thursday"
"DOC010","Dr. Amanda White","Endocrinology","monday"
